match_id;home;away;country;league;kick_off;match_date;market;predicted_outcome;score;signal_type;close_odds;pct_change;breakdown;n_snapshots;open_overround;close_overround;kelly_pct;suggested_eur;est_winprob
Charlotte|Austin FC;Charlotte;Austin FC;USA;MLS;01:30;2026-03-08;2;AWAY;90;CORRECTION_UP;3.7;0.5434782608695656;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);90;103.0;103.0;6.1;20;0.449
Juventud (Uru)|Ind. Medellin (Col);Juventud (Uru);Ind. Medellin (Col);South America;Copa Libertadores;01:30;2026-03-06;1;HOME;90;NEGLECT_UP;3.19;1.269841269841271;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);91;102.7;102.3;4.9;20;0.449
Lexington|Louisville City;Lexington;Louisville City;USA;USL Championship;01:30;2026-03-07;2;AWAY;90;NEGLECT_UP;2.5;2.880658436213985;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);88;106.5;106.3;2.0;20;0.449
Sporting Jax|Hartford Athletic;Sporting Jax;Hartford Athletic;USA;USL Championship;01:30;2026-03-08;X;DRAW;90;NEGLECT_UP;3.59;2.8653295128939726;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);80;107.5;106.5;5.9;20;0.449
Wollongong Wolves|Sydney FC U23;Wollongong Wolves;Sydney FC U23;Australia;NPL NSW;05:00;2026-03-08;2;AWAY;90;CORRECTION_UP;2.42;0.8333333333333341;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);48;107.9;107.6;1.5;20;0.449
FC Tokyo|Yokohama F. Marinos;FC Tokyo;Yokohama F. Marinos;Japan;J1 League;06:00;2026-03-07;2;AWAY;90;NEGLECT_UP;3.8;1.8766756032171539;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);88;104.2;103.5;6.3;20;0.449
Gimcheon Sangmu|Jeonbuk;Gimcheon Sangmu;Jeonbuk;South Korea;K League 1;06:00;2026-03-08;1;HOME;90;CORRECTION_UP;2.84;0.7092198581560291;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);90;104.4;104.0;3.7;20;0.449
Avispa Fukuoka|Nagoya Grampus;Avispa Fukuoka;Nagoya Grampus;Japan;J1 League;08:00;2026-03-07;1;HOME;90;NEGLECT_UP;2.9;2.8368794326241162;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);88;104.7;103.7;4.0;20;0.449
Cheonan City|Gimpo FC;Cheonan City;Gimpo FC;South Korea;K League 2;08:30;2026-03-08;1;HOME;90;NEGLECT_UP;3.8;2.150537634408592;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);90;106.1;105.5;6.3;20;0.449
Afumati|Steaua Bucuresti;Afumati;Steaua Bucuresti;Romania;Liga 2;10:00;2026-03-07;1;HOME;90;NEGLECT_UP;3.21;1.9047619047619067;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);88;109.3;109.4;5.0;20;0.449
Seoul (Kor)|Vissel Kobe (Jpn);Seoul (Kor);Vissel Kobe (Jpn);Asia;AFC Champions League;11:00;2026-03-04;1;HOME;90;NEGLECT_UP;3.07;6.597222222222221;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);200;103.8;103.2;4.6;20;0.449
Tluchowo|Nowe Skalmierzyce;Tluchowo;Nowe Skalmierzyce;Poland;III Liga - Group II;12:00;2026-03-07;2;AWAY;90;NEGLECT_UP;2.56;1.9920318725099708;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);56;112.1;112.0;2.4;20;0.449
Motor Lublin|Gornik Zabrze;Motor Lublin;Gornik Zabrze;Poland;Ekstraklasa;12:15;2026-03-08;1;HOME;90;NEGLECT_UP;3.0;2.3890784982935096;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);90;104.6;103.8;4.3;20;0.449
Preussen Munster|Hertha Berlin;Preussen Munster;Hertha Berlin;Germany;2. Bundesliga;13:30;2026-03-08;2;AWAY;90;NEGLECT_UP;2.35;1.2931034482758728;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);90;103.5;103.0;1.0;20;0.449
Zaglebie Sosnowiec|Podhale Nowy Targ;Zaglebie Sosnowiec;Podhale Nowy Targ;Poland;Division 2;13:30;2026-03-07;X;DRAW;90;NEGLECT_UP;3.25;1.2461059190031165;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);55;111.9;111.9;5.1;20;0.449
Alzenau|Eintracht Trier;Alzenau;Eintracht Trier;Germany;Regionalliga Sudwest;14:00;2026-03-07;2;AWAY;90;CORRECTION_UP;2.22;0.9090909090909097;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);23;109.8;108.9;0;20;0.449
