match_id;home;away;country;league;kick_off;match_date;market;predicted_outcome;score;signal_type;close_odds;pct_change;breakdown;n_snapshots;open_overround;close_overround;kelly_pct;suggested_eur;est_winprob
Gremio|Bragantino;Gremio;Bragantino;Brazil;Serie A Betano;01:30;2026-03-13;1;HOME;90;DRIFT_UP;2.05;0.9852216748768483;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);66;100.1;100.3;0;20;0.449
Mirassol|Santos;Mirassol;Santos;Brazil;Serie A Betano;01:30;2026-03-11;1;HOME;90;NEGLECT_UP;2.06;1.4778325123152833;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);66;103.2;102.6;0;20;0.449
Central Coast Mariners|Adelaide United;Central Coast Mariners;Adelaide United;Australia;A-League;05:00;2026-03-14;1;HOME;90;CORRECTION_UP;3.12;0.6451612903225812;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);35;101.3;101.8;4.7;20;0.449
Nagoya Grampus|Vissel Kobe;Nagoya Grampus;Vissel Kobe;Japan;J1 League;06:00;2026-03-14;2;AWAY;90;CORRECTION_UP;2.25;0.896860986547086;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);22;104.7;103.9;0.2;20;0.449
Teruel|Villarreal B;Teruel;Villarreal B;Spain;Primera RFEF - Group 2;12:00;2026-03-08;1;HOME;90;DRIFT_UP;2.32;0.8695652173913052;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);124;105.8;105.2;0.8;20;0.449
Torrent|Porreres;Torrent;Porreres;Spain;Segunda RFEF - Group 3;12:00;2026-03-08;1;HOME;90;NEGLECT_UP;2.27;2.714932126696835;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);124;108.4;107.6;0.4;20;0.449
Zaragoza B|Basconia;Zaragoza B;Basconia;Spain;Segunda RFEF - Group 2;12:00;2026-03-08;X;DRAW;90;NEGLECT_UP;3.48;1.4577259475218607;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);124;106.9;106.0;5.7;20;0.449
Buriram (Tha)|Melbourne City (Aus);Buriram (Tha);Melbourne City (Aus);Asia;AFC Champions League;13:15;2026-03-10;X;DRAW;90;NEGLECT_UP;3.66;2.8089887640449462;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);46;104.6;104.0;6.0;20;0.449
Lamphun Warrior|Prachuap;Lamphun Warrior;Prachuap;Thailand;Thai League 1;13:30;2026-03-14;2;AWAY;90;NEGLECT_UP;2.7;1.123595505617987;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);15;106.2;106.1;3.1;20;0.449
CSKA Sofia II|Pirin Blagoevgrad;CSKA Sofia II;Pirin Blagoevgrad;Bulgaria;Vtora liga;14:30;2026-03-09;X;DRAW;90;NEGLECT_UP;3.45;2.9850746268656745;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);66;108.4;107.7;5.6;20;0.449
Radomiak Radom|GKS Katowice;Radomiak Radom;GKS Katowice;Poland;Ekstraklasa;14:45;2026-03-08;1;HOME;90;NEGLECT_UP;2.15;1.8957345971564;smooth(+20) slow(+15) orc_ok(+15) weak_ctr(+15) not_late(+10) not_fav(+10) sweet(+5);124;104.5;103.5;0;20;0.449
